http://dbpedia.org/resource/Hurricane_Alicia	Louisiana	United States	http://sws.geonames.org/6252001/	310232863	Louisiana	http://sws.geonames.org/4331987/	4515939	31.00047	-92.0004	39.76	-98.5
http://dbpedia.org/resource/Hurricane_Alicia	Mississippi	United States	http://sws.geonames.org/6252001/	310232863	Mississippi	http://sws.geonames.org/4436296/	2901371	32.75041	-89.75036	39.76	-98.5
http://dbpedia.org/resource/Hurricane_Alicia	Nebraska	United States	http://sws.geonames.org/6252001/	310232863	Nebraska	http://sws.geonames.org/5073708/	1757399	41.50028	-99.75067	39.76	-98.5
http://dbpedia.org/resource/Cyclone_Vance	Northern Territory	Commonwealth of Australia	http://sws.geonames.org/2077456/	21515754	Northern Territory	http://sws.geonames.org/2064513/	211945	-20	134	-25	135
http://dbpedia.org/resource/Hurricane_Charley	Florida	Oriental Republic of Uruguay	http://sws.geonames.org/3439705/	3477000	Departamento de Florida	http://sws.geonames.org/3442584/	68334	-33.83333	-55.91667	-33	-56
http://dbpedia.org/resource/Hurricane_Charley	Florida	Puerto Rico	http://sws.geonames.org/4566966/	3916632	Florida Municipio	http://sws.geonames.org/4564993/	12680	18.36051	-66.56212	18.24829	-66.49989
http://dbpedia.org/resource/Hurricane_Charley	Florida	United States	http://sws.geonames.org/6252001/	310232863	Florida	http://sws.geonames.org/4155751/	17671452	28.75054	-82.5001	39.76	-98.5
http://dbpedia.org/resource/Hurricane_Charley	North Carolina	United States	http://sws.geonames.org/6252001/	310232863	North Carolina	http://sws.geonames.org/4482348/	8611367	35.50069	-80.00032	39.76	-98.5
http://dbpedia.org/resource/Hurricane_Gloria	North Carolina	United States	http://sws.geonames.org/6252001/	310232863	North Carolina	http://sws.geonames.org/4482348/	8611367	35.50069	-80.00032	39.76	-98.5
http://dbpedia.org/resource/Hurricane_Ione	North Carolina	United States	http://sws.geonames.org/6252001/	310232863	North Carolina	http://sws.geonames.org/4482348/	8611367	35.50069	-80.00032	39.76	-98.5
http://dbpedia.org/resource/Hurricane_Eloise	Florida	Oriental Republic of Uruguay	http://sws.geonames.org/3439705/	3477000	Departamento de Florida	http://sws.geonames.org/3442584/	68334	-33.83333	-55.91667	-33	-56
http://dbpedia.org/resource/Hurricane_Eloise	Florida	Puerto Rico	http://sws.geonames.org/4566966/	3916632	Florida Municipio	http://sws.geonames.org/4564993/	12680	18.36051	-66.56212	18.24829	-66.49989
http://dbpedia.org/resource/Hurricane_Eloise	Florida	United States	http://sws.geonames.org/6252001/	310232863	Florida	http://sws.geonames.org/4155751/	17671452	28.75054	-82.5001	39.76	-98.5
http://dbpedia.org/resource/Hurricane_Rita	Florida	Oriental Republic of Uruguay	http://sws.geonames.org/3439705/	3477000	Departamento de Florida	http://sws.geonames.org/3442584/	68334	-33.83333	-55.91667	-33	-56
http://dbpedia.org/resource/Hurricane_Rita	Florida	Puerto Rico	http://sws.geonames.org/4566966/	3916632	Florida Municipio	http://sws.geonames.org/4564993/	12680	18.36051	-66.56212	18.24829	-66.49989
http://dbpedia.org/resource/Hurricane_Rita	Florida	United States	http://sws.geonames.org/6252001/	310232863	Florida	http://sws.geonames.org/4155751/	17671452	28.75054	-82.5001	39.76	-98.5
http://dbpedia.org/resource/Hurricane_Rita	Illinois	United States	http://sws.geonames.org/6252001/	310232863	Illinois	http://sws.geonames.org/4896861/	12772888	40.00032	-89.25037	39.76	-98.5
http://dbpedia.org/resource/Hurricane_Rita	Louisiana	United States	http://sws.geonames.org/6252001/	310232863	Louisiana	http://sws.geonames.org/4331987/	4515939	31.00047	-92.0004	39.76	-98.5
http://dbpedia.org/resource/Hurricane_Rita	Mississippi	United States	http://sws.geonames.org/6252001/	310232863	Mississippi	http://sws.geonames.org/4436296/	2901371	32.75041	-89.75036	39.76	-98.5
